Code	Provider	Marking	Case	Unit	Description	Provider	Category
	Code	Code		$US			
LF353N		LF353N	DIL8	0.94	"OPAMP J-FET-IN, wide bandwidth,"	1	6
LF357N		LF357N	DIL8	0.94	"OPAMP J-FET-IN, wide bandwidth,"	1	6
LF411CP		LF411CP	DIL8	1.5	"OPAMP J-FET-IN, low drift, low offset,"	1	6
LF412CN		LF412CN	DIL8	1.4	"OPAMP Dual, J-FET-IN, low drift, low offset,"	1	6
LM201AN		LM201AN	DIL8	0.75	OPAMP	1	6
LM301AN		LM301AN	DIL8	0.75	OPAMP	1	6
LM308AH		LM308AH	TO-99	1.75	OPAMP	1	6
LM308AH		LM308AH	SOIC8	1.75	OPAMP	1	6
LM324		LM324	SOIC	0.45	OPAMP QUAD	1	6
LM324		LM324	DIL14	0.45	OPAMP QUAD	1	6
LM358DR		LM358DR	SOIC8	0.45	OPAMP DUAL	1	6
LM358D		LM358D	SOIC8	0.45	OPAMP DUAL	1	6
LM358		LM358	DIL8	0.45	OPAMP DUAL	1	6
LM611IM		LM611IM	SOIC14		"OPAMP LP, adj. Ref 1.2..6V"	1	6
LM747		LM747	DIL14	0.48	OPAMP DUAL	1	6
LT1490CS8		LT1490CS8	SOIC8	3.88	OPAMP DUAL R-R	3	6
LT1490CS8		LT1490CS8	SOIC8	2.7	OPAMP DUAL R-R	3	6
LT1490CN8		LT1490CN8	DIL8	3.75	OPAMP DUAL R-R	4	6
LT1491			SOIC14		OPAMP QUAD R-R	3	6
LT1783HS5	LT1783HS5-ND	LTXR	SOT23-5	2.08	"OPAMP R-R IN/OUT, Micropwr, Over-the-Top, 1.25MHz, 2.7..10V,"	3	6
LT1970CFE	LT1970CFE-ND		TSS20	9.88	OPAMP ADJ CURR LIMIT	1	6
LMP2231AMFE/NOPB	LMP2231A	AL5A	SOT23-5	0		1	6
LMP2232AMFE/NOPB	LMP2232A	LMP2232B	SOIC8	0		1	6
MCP604-I/P			DIL14	1.6	OPAMP QUAD R-R	1	6
NE5320			SOIC8	0	OPAMP DUAL	1	6
OP07CP			DIL8	0.96	OPAMP PREC. LOW OFFSET	1	6
OP07C	296-12852-5-ND	OP07C	SOIC8	0.8	OPAMP PREC. LOW OFFSET	1	6
OP77GP			DIL8	2.6	OPAMP PREC. LOW OFFSET	1	6
OPA27U			SOIC8	2.86	OPAMP PREC. LOW NOISE	1	6
OPA27GU			SOIC8	2.45	OPAMP PREC. LOW NOISE	1	6
OPA277PA			DIL8	2.03	OPAMP PREC. LOW NOISE	1	6
OPA623AP			SOIC8	0	"OPAMP wide band, low distortion, low noise,"	1	6
TL071CDR	296-14994-1-ND	TL071C	SOIC8	0.64	OPAMP SINGLE J-FET	1	6
TL071CDR	296-14994-1-ND	TL071C	SOIC8	0.42	OPAMP SINGLE J-FET	1	6
TL071CP		TL071CP	DIL8	0.64	OPAMP DUAL J-FET	1	6
TL072CDR	296-1282-1-ND	TL072C	SOIC8	0.64	OPAMP DUAL J-FET	1	6
TL072		72	SOIC8	0.64	OPAMP DUAL J-FET	1	6
TL072		TL072	DIL8	0.64	OPAMP DUAL J-FET	1	6
TL072CDR	296-1282-1-ND	TL072	SOIC8	0.35	OPAMP DUAL J-FET	1	6
TL074CD	296-1283-5-ND	74	SOIC14	0.76	OPAMP QUAD J_FET	1	6
TL074CN			DIL14	0.88	OPAMP QUAD J-FET	1	6
TL081CD			SOIC8	0.9	OPAMP DUAL J-FET	1	6
TL082CN			DIL8	0.9	OPAMP DUAL J-FET	1	6
TL084CD			SOIC14	0.9	OPAMP QUAD J-FET	1	6
TL084CN			DIL14	0.96	OPAMP QUAD J-FET	1	6
TLC271AIP		TLC271AIP	DIL8	0	OPAMP LinMOS	1	6
TLC271CD	296-1308-1-ND	271C	SOIC8	0.69	OPAMP LinMOS	1	6
TLC271CD	296-1308-1-ND	271C	SOIC8	0.57	OPAMP LinMOS	1	6
TLC272ACD	296-1309-5-ND	272AI	SOIC8	0.69	"OPAMP DUAL LinMOS, Ic=1.4mA, "	1	6
"TLV2631IDBVR (2=GND, 5=+V)"	296-11973-1-ND	VAZI	SOT23-5	1	"OPAMP R-R IN/OUT, 730uA-Ch, 2.7..5.5V, 9MHz, -40…+125ºC,"	1	6
"TLV2711CDBVR (2=+V, 5=-V/GND)"	296-10651-1-ND	VAJI	SOT23-5	0.93	"OPAMP R-R IN/OUT, 11uA-Ch, 2.7..10V, LN, -40…+85ºC,"	1	6
UA741CN		UA741	DIL8	0.3	OPAMP Standard	1	6
ADG201AKRZ			SOIC16	3.22	SW ANALOG QUAD SPST	1	7
ADG507AKR			SOIC28W	9.2	SW ANALOG Differncial 8-CH-MUX	1	7
ADG509AKR			SOIC16	4.9	SW ANALOG Differncial 4-CH-MUX	1	7
AD7501JN			DIL14	9.89		1	7
AH0152CD			DIL14	0		1	7
AH0015D			DIL16	0	"SW ANALOG QUAD SPST, +/-10V, 200R-ON, 500ns,"	1	7
DG418DY			SOIC8	0.89	"SW ANALOG 1-CH, 20Ohm, 0.1nA leakage current"	1	7
DG419LDY		DG419L	SOIC8	0.68	"SW ANALOG 1-CH, 35Ohm, 0.25nA leakage current, Low-Voltage"	1	7
DG419BR		DG419B	SOIC8	2.7	"SW ANALOG 1-CH, 35Ohm, 0.25nA leakage current,"	1	7
DG506BR		DG506BR	DIL28	9.56	SW ANALOG 16-CH-MUX	1	7
DG508		DG508		0	"SW ANALOG Dual-4-CH-MUX, 44V, 380R-ON,"	1	7
DG509AKN		DG509AKN	DIL16	0	"SW ANALOG Dual-4-CH-MUX, 44V, 240R-ON,"	1	7
DG172BP		DG172B	DIL14	0	"SW ANALOG 4-CH-MUX, 44V,"	1	7
MC14016BP			DIL14	0.49	SW ANALOG QUAD SPST	1	7
CD4016CN			DIL14	0.47	SW ANALOG QUAD SPST	1	7
CD4051			DIL16	0.53	SW ANALOG Single-8-CH-MUX	1	7
HCF4051			SOIC16	0.53	SW ANALOG Single-8-CH-MUX	1	7
74HCF4051M			SOIC16	0.65	SW ANALOG Single-8-CH-MUX	1	7
CD4052BE			DIL16	0.87	SW ANALOG Differncial 4-CH-MUX	1	7
74HCF4052M			SOIC16	0.65	SW ANALOG Differncial 4-CH-MUX	1	7
CD4053BE			DIL14	0.65	SW ANALOG Tripple 2-Ch MUX	1	7
HCF4053			SOIC16	0.87	SW ANALOG Tripple 2-Ch MUX	1	7
74HCF4053M			SOIC16	0.65		1	7
HCT4053			SOIC16	0.87	SW ANALOG Tripple 2-Ch MUX	1	7
SCL4066BE			DIL14	0.47	SW ANALOG QUAD SPST	1	7
74HC4066D			SOIC14	0.47	SW ANALOG QUAD SPST	1	7
